"","NSI","pi","piHC","piMetals"
"Orbiniidae",0,0,0,0
"Amphinomidae",0,0,0,0
"Polygordiidae",0,0,0,0
"Eukrohniidae",0,0,0,0
"Carcharhinidae",0,0,0,0
"Ascidiidae",0,0,0,0
"Caryophylliidae",0,0,0,0
"Epizoanthidae",0,0,0,0
"Alcyoniidae",0,0,0,0
"Actinostolidae",0,0,0,0
"Hormathiidae",0,0,0,0
"Metridiidae",0,0,0,0
"Edwardsiidae",0,0,0,0
"Halcampidae",0,0,0,0
"Pennatulidae",0,0,0,0
"Virgulariidae",0,0,0,0
"Cerianthidae",0,0,0,0
"Arachnactidae",0,0,0,0
"Hydractiniidae",0,0,0,0
"Tubulariidae",0,0,0,0
"Corynidae",0,0,0,0
"Oceaniidae",0,0,0,0
"Corymorphidae",0,0,0,0
"Bougainvilliidae",0,0,0,0
"Rathkeidae",0,0,0,0
"Boreohydridae",0,0,0,0
"Margelopsidae",0,0,0,0
"Eirenidae",0,0,0,0
"Campanulariidae",0,0,0,0
"Aequoreidae",0,0,0,0
"Haleciidae",0,0,0,0
"Lafoeidae",0,0,0,0
"Mitrocomidae",0,0,0,0
"Olindiidae",0,0,0,0
"Agalmatidae",0,0,0,0
"Apolemiidae",0,0,0,0
"Lucernariidae",0,0,0,0
"Cyaneidae",0,0,0,0
"Ulmaridae",0,0,0,0
"Strongylocentrotidae",0,0,0,0
"Loveniidae",0,0,0,0
"Spatangidae",0,0,0,0
"Brissidae",0,0,0,0
"Fibulariidae",0,0,0,0
"Echinidae",0,0,0,2
"Synaptidae",0,0,0,0
"Cucumariidae",0,0,0,0
"Phyllophoridae",0,0,0,0
"Asteriidae",0,0,3,0
"Luidiidae",0,0,0,0
"Poraniidae",0,0,0,0
"Ophiuridae",0,0,0,0
"Ophiactidae",0,0,0,0
"Amphiuridae",0,0,0,0
"Ophiotrichidae",0,0,0,0
"Onychognathiidae",0,0,0,0
"Mytilidae",0,0,0,0
"Veneridae",0,0,0,0
"Arcticidae",0,0,0,0
"Cardiidae",0,0,0,0
"Tellinidae",0,0,0,0
"Semelidae",0,0,0,0
"Nuculidae",0,0,0,0
"Mactridae",0,0,0,0
"Montacutidae",0,0,0,0
"Pharidae",0,0,0,0
"Hiatellidae",0,0,0,0
"Yoldiidae",0,0,0,0
"Cuspidariidae",0,0,0,0
"Thyasiridae",0,0,0,0
"Limidae",0,0,0,0
"Astartidae",0,0,0,0
"Naticidae",0,0,0,0
"Aporrhaidae",0,0,0,0
"Acteonidae",0,0,0,0
"Terebridae",0,0,0,0
"Buccinidae",0,0,0,0
"Conidae",0,0,0,0
"Dotidae",0,0,0,0
"Flabellinidae",0,0,0,0
"Polyceridae",0,0,0,0
"Onchidorididae",0,0,0,0
"Heroidae",0,0,0,0
"Epitoniidae",0,0,0,0
"Retusidae",0,0,0,0
"Philinidae",0,0,0,0
"Diaphanidae",0,0,0,0
"Scaphandridae",0,0,0,0
"Clionidae",0,0,0,0
"Aplysiidae",0,0,0,0
"Eulimidae",0,0,0,0
"Dentaliidae",0,0,0,0
"Limifossoridae",0,0,0,0
"Chaetodermatidae",0,0,0,0
"Chromadoridae",0,0,0,0
"Cephalothricidae",0,0,0,0
"Tubulanidae",0,0,0,0
"Hubrechtidae",0,0,0,0
"Lineidae",0,0,0,0
"Cerebratulidae",0,0,0,0
"Baseodiscidae",0,0,0,0
"Oerstediidae",0,0,0,0
"Haplopharyngidae",0,0,0,0
"Heterophyidae",0,0,0,0
"Childiidae",0,0,0,0
"Haploposthiidae",0,0,0,0
"Isodiametridae",0,0,0,0
"Mecynostomidae",0,0,0,0
"Ascopariidae",0,0,0,0
"Nemertodermatidae",0,0,0,0
"Ancorinidae",0,0,0,0
"Pachastrellidae",0,0,0,0
"Ianthellidae",0,0,0,0
"Microcionidae",0,0,0,0
"Hymedesmiidae",0,0,0,0
"Raspailiidae",0,0,0,0
"Desmacellidae",0,0,0,0
"Crellidae",0,0,0,0
"Cladorhizidae",0,0,0,0
"Heteroxyidae",0,0,0,0
"Axinellidae",0,0,0,0
"Suberitidae",0,0,0,0
"Polymastiidae",0,0,0,0
"Priapulidae",0,0,0,0
"Synchaetidae",0,0,0,0
"Niphargus",0,0,0,0
"Westwoodilla",0,0,0,0
"Hippomedon",0,0,0,0
"Ampelisca",0,0,0,0
"Byblis",0,0,0,0
"Jassa",0,0,0,0
"Harpinia",0,0,0,0
"Urothoe",0,0,0,0
"Megamphopus",0,0,0,0
"Bathyporeia",0,0,0,0
"Hyas",0,0,0,0
"Aegla",0,0,0,0
"Pagurus",0,0,0,0
"Alpheus",0,0,0,0
"Crangon",0,0,0,0
"Praunus",0,0,0,0
"Natatolana",0,0,0,0
"Notopais",0,0,0,0
"Thysanoessa",0,0,0,0
"Eudorella",0,0,0,0
"Evadne",4,0,0,0
"Podon",0,0,0,0
"Balanus",0,0,0,0
"Verruca",0,0,0,0
"Ditrichocorycaeus",0,0,0,0
"Tubificoides",0,0,0,0
"Grania (Enchytraeidae)",0,0,0,0
"Siboglinum",0,0,0,0
"Owenia",0,0,0,0
"Galathowenia",0,0,0,0
"Chone",0,0,0,0
"Euchone",0,0,0,0
"Harmothoe",0,0,0,0
"Gattyana",0,0,0,0
"Bylgides",0,0,0,0
"Nereimyra",0,0,0,0
"Neogyptis",0,0,0,0
"Glycera",0,0,0,0
"Nephtys",0,0,0,0
"Aglaophamus",0,0,0,0
"Pholoe",0,0,0,0
"Glycinde",0,0,0,0
"Sphaerodorum",0,0,0,0
"Sphaerodoropsis",0,0,0,0
"Phyllodoce (Phyllodocidae)",0,0,0,0
"Eumida",0,0,0,0
"Sige",0,0,0,0
"Laetmonice",0,0,0,0
"Pectinaria",0,0,0,0
"Cirratulus",0,0,0,0
"Chaetozone",0,0,0,0
"Tharyx",0,0,0,0
"Polycirrus",0,0,0,0
"Pista",0,0,0,0
"Mugga",0,0,0,0
"Anobothrus",0,0,0,0
"Eclysippe",0,0,0,0
"Raricirrus",0,0,0,0
"Nothria",0,0,0,0
"Paradiopatra",0,0,0,0
"Ophryotrocha",5,3,5,4
"Parougia",0,0,0,0
"Ophelina",0,0,0,0
"Prionospio",4,0,0,0
"Spiophanes",0,0,0,0
"Poecilochaetus",0,0,0,0
"Praxillella",0,0,0,0
"Aricidea",0,1,1,0
"Levinsenia",0,0,0,0
"Heteromastus",0,0,0,0
"Barantolla",1,0,1,0
"Dasybranchus",0,0,0,0
"Scoloplos",0,0,0,1
"Paramphinome",0,0,0,1
"Polygordius",0,0,0,0
"Eukrohnia",0,0,0,0
"Galeocerdo",0,0,0,0
"Phallusia",0,0,0,0
"Caryophyllia",0,0,0,0
"Epizoanthus",0,0,0,0
"Alcyonium",0,0,0,0
"Maractis",0,0,0,0
"Hormathia",0,0,0,0
"Actinauge",0,0,0,0
"Metridium",0,4,4,4
"Edwardsia",3,0,0,0
"Halcampa",0,0,0,0
"Pennatula",0,0,0,0
"Virgularia",0,0,0,0
"Pachycerianthus",0,0,0,0
"Isarachnanthus",0,0,0,0
"Hydractinia",0,0,0,0
"Ectopleura",0,0,0,0
"Sarsia",0,0,0,0
"Merona",0,0,0,0
"Corymorpha",0,0,0,0
"Euphysa",0,0,0,0
"Bougainvillia",0,0,0,0
"Rathkea",0,0,0,0
"Plotocnide",0,0,0,0
"Margelopsis",0,0,0,0
"Eutonina",0,0,0,0
"Tima",0,0,0,0
"Obelia",0,0,0,0
"Clytia",0,0,0,0
"Aequorea",0,0,0,0
"Halecium",0,0,0,0
"Lafoea",0,0,0,0
"Mitrocomella",0,0,0,0
"Gonionemus",0,0,0,0
"Agalma",0,0,0,0
"Nanomia",0,0,0,0
"Apolemia",0,0,0,0
"Lucernaria",0,0,0,0
"Cyanea",1,1,1,1
"Aurelia",0,0,0,0
"Strongylocentrotus",0,0,0,0
"Echinocardium",0,0,0,0
"Spatangus",0,0,0,0
"Brissopsis",0,1,0,1
"Echinocyamus",0,0,0,0
"Leptosynapta",0,3,3,0
"Trachythyone",0,0,0,0
"Pseudothyone",0,0,0,0
"Thyone",0,0,0,0
"Luidia",0,0,0,0
"Porania",0,0,0,0
"Ophiura",0,0,0,0
"Ophiocten",0,0,0,0
"Ophiopholis",0,0,0,0
"Ophiactis",0,0,0,0
"Amphipholis",0,0,0,0
"Amphiura",0,0,0,0
"Ophiothrix",0,0,0,0
"Valvognathia",0,0,0,0
"Mytilus",0,0,0,0
"Modiolus",0,0,0,0
"Dosinia",0,0,0,0
"Timoclea",0,0,0,0
"Arctica",0,0,0,0
"Parvicardium",0,0,0,0
"Acanthocardia",0,0,0,0
"Moerella",0,0,0,0
"Abra",0,0,0,0
"Ennucula",0,0,0,0
"Nucula",0,0,0,0
"Spisula",0,0,0,0
"Mysella",0,0,0,0
"Phaxas",0,0,0,0
"Hiatella",0,0,0,0
"Yoldiella",0,0,0,0
"Cardiomya",0,0,0,0
"Cuspidaria",0,0,0,0
"Thyasira",0,0,0,0
"Lima",0,0,0,0
"Astarte",0,0,0,0
"Euspira",0,0,0,0
"Cryptonatica",0,0,0,0
"Aporrhais",0,0,0,0
"Acteon",0,0,0,0
"Duplicaria",0,3,0,4
"Neptunea",0,0,0,0
"Buccinum",0,0,0,0
"Colus",0,0,0,0
"Propebela",0,0,0,0
"Doto",0,0,0,0
"Flabellina",0,0,0,0
"Polycera",0,0,0,0
"Onchidoris",0,0,0,0
"Hero",0,0,0,0
"Epitonium",0,0,0,0
"Retusa",0,0,0,0
"Philine",0,0,0,0
"Diaphana",0,0,0,0
"Cylichna",0,0,0,0
"Scaphander",0,0,0,0
"Clione",0,0,0,0
"Aplysia",0,0,0,0
"Haliella",0,0,0,0
"Antalis",0,0,0,0
"Scutopus",0,0,0,0
"Chaetoderma",0,0,0,0
"Falcidens",0,0,0,0
"Neochromadora",1,0,1,0
"Cephalothrix",0,1,1,1
"Tubulanus",4,0,0,0
"Hubrechtella",0,0,0,0
"Cerebratulus",0,0,0,0
"Micrura",0,1,0,0
"Pseudomicrura",0,0,0,0
"Tenuilineus",0,0,0,0
"Leucocephalonemertes",0,0,0,0
"Oxypolia",0,0,0,0
"Oerstedia",0,0,0,0
"Haplopharynx",0,0,0,0
"Cryptocotyle",0,0,0,0
"Childia",0,0,0,0
"Philactinoposthia",0,0,0,0
"Actinoposthia",0,0,0,0
"Haploposthia",0,0,0,0
"Hallangia",0,0,0,0
"Archaphanostoma",1,1,1,1
"Pseudmecynostomum",0,0,0,0
"Philomecynostomum",0,0,0,0
"Ascoparia",0,0,0,0
"Nemertoderma",0,0,0,0
"Stelletta",0,0,0,0
"Thenea",0,0,0,0
"Hexadella",0,0,0,0
"Clathria",0,0,0,0
"Eurypon",0,0,0,0
"Biemna",0,0,0,0
"Crella",0,0,0,0
"Asbestopluma",0,0,0,0
"Desmoxya",0,0,0,0
"Axinella",0,0,0,0
"Suberites",0,0,0,0
"Plicatellopsis",0,0,0,0
"Polymastia",0,0,0,0
"Priapulus",0,0,0,0
"Synchaeta",5,5,0,4
"Westwoodilla caecula",0,0,0,0
"Ampelisca diadema",0,0,0,0
"Byblis gaimardii",0,0,0,0
