"","NSI","pi","piHC","piMetals"
"SWARM_23244",NA,NA,NA,NA
"SWARM_23248",NA,NA,NA,NA
"SWARM_22531",NA,NA,NA,NA
"SWARM_2259",NA,2.97169262281062,0.548888888888889,1.81064159140668
"SWARM_2256",NA,0.324375114030287,0.166666666666667,0.27822249589491
"SWARM_2253",NA,NA,NA,NA
"SWARM_11848",NA,NA,NA,NA
"SWARM_11842",NA,NA,NA,NA
"SWARM_9348",NA,NA,NA,NA
"SWARM_9345",NA,NA,NA,NA
"SWARM_17039",NA,NA,0.190509259259259,NA
"SWARM_62616",NA,NA,NA,NA
"SWARM_7995",NA,NA,NA,NA
"SWARM_18785",NA,NA,NA,NA
"SWARM_1901",NA,NA,NA,NA
"SWARM_1904",NA,NA,NA,NA
"SWARM_43852",NA,NA,NA,NA
"SWARM_136",NA,NA,NA,NA
"SWARM_28898",NA,NA,NA,NA
"SWARM_25946",NA,NA,NA,NA
"SWARM_1573",NA,NA,NA,0.111637931034483
"SWARM_1577",NA,NA,NA,NA
"SWARM_1574",27.35,NA,NA,NA
"SWARM_33055",NA,NA,NA,NA
"SWARM_21759",NA,NA,NA,NA
"SWARM_21757",NA,NA,1.03592592592593,2.42572223932677
"SWARM_17260",NA,NA,NA,NA
"SWARM_25121",NA,NA,NA,NA
"SWARM_25123",NA,NA,NA,NA
"SWARM_22478",NA,NA,NA,NA
"SWARM_5063",NA,NA,NA,NA
"SWARM_6746",NA,0.329638980113118,0.166666666666667,0.788478379857691
"SWARM_6742",NA,0.825705467372134,0.231481481481481,0.111637931034483
"SWARM_249",23.165,NA,NA,NA
"SWARM_47561",NA,NA,NA,NA
"SWARM_12217",NA,NA,NA,NA
"SWARM_12219",NA,NA,NA,NA
"SWARM_27698",NA,NA,NA,NA
"SWARM_1001",NA,NA,NA,NA
"SWARM_1006",NA,NA,NA,NA
"SWARM_25459",NA,NA,NA,NA
"SWARM_31357",NA,NA,NA,NA
"SWARM_3091",NA,NA,NA,1.74130319512863
"SWARM_3097",NA,1.38852036200815,4.07,2.42572223932677
