"","NSI","pi","piHC","piMetals"
"SWARM_10986",0,1,1,1
"SWARM_12165",0,0,0,0
"SWARM_17669",0,0,0,0
"SWARM_16136",0,0,0,0
"SWARM_33212",0,0,0,0
"SWARM_5304",0,0,0,0
"SWARM_5306",0,0,0,0
"SWARM_5309",0,0,0,0
"SWARM_2658",0,0,0,0
"SWARM_8439",0,0,0,0
"SWARM_9704",1,0,0,0
"SWARM_1327",0,0,0,0
"SWARM_1325",0,0,0,0
"SWARM_1324",0,0,0,0
"SWARM_28672",0,0,0,0
"SWARM_25799",0,0,0,0
"SWARM_8412",0,0,0,0
"SWARM_11103",0,1,0,1
"SWARM_11109",0,3,5,3
"SWARM_10278",0,1,1,1
"SWARM_691",0,1,0,1
"SWARM_690",0,0,0,1
"SWARM_692",0,1,1,1
"SWARM_6553",0,0,0,0
"SWARM_7201",0,0,3,0
"SWARM_7206",0,1,0,1
"SWARM_7207",5,3,5,4
"SWARM_21421",0,0,0,0
"SWARM_35110",0,0,0,0
"SWARM_23040",0,0,0,0
"SWARM_323",0,0,0,0
"SWARM_24327",0,0,0,0
"SWARM_16787",0,0,0,0
"SWARM_51009",0,0,0,0
"SWARM_14926",0,0,0,0
"SWARM_2284",0,1,1,1
"SWARM_12501",0,0,0,0
"SWARM_12504",0,0,0,0
"SWARM_18777",0,0,0,0
"SWARM_20638",0,0,0,0
"SWARM_20637",0,0,0,0
"SWARM_13902",0,0,0,0
"SWARM_36387",0,0,0,0
"SWARM_70511",0,0,0,0
"SWARM_14675",0,0,0,0
"SWARM_14676",0,0,0,0
"SWARM_6921",0,1,0,1
"SWARM_17378",0,0,0,0
"SWARM_6928",0,0,0,1
"SWARM_13822",0,0,0,0
"SWARM_13828",0,0,0,0
"SWARM_981",0,0,0,0
"SWARM_16425",0,1,1,1
"SWARM_16428",0,0,0,0
"SWARM_7678",0,3,0,0
"SWARM_1633",0,0,0,0
"SWARM_1636",0,1,0,1
"SWARM_30841",0,0,0,0
"SWARM_30113",0,0,0,0
"SWARM_6887",0,0,0,0
"SWARM_2081",0,0,0,0
"SWARM_13796",0,0,0,0
"SWARM_25247",0,0,0,0
"SWARM_22730",0,0,0,0
"SWARM_22732",0,0,0,0
"SWARM_21043",0,0,0,0
"SWARM_6807",0,0,0,0
"SWARM_20819",1,1,0,1
"SWARM_34828",0,0,0,0
"SWARM_6884",0,0,0,0
"SWARM_12395",0,0,0,0
"SWARM_19010",0,0,0,0
"SWARM_19016",0,0,0,0
"SWARM_19015",0,0,0,0
"SWARM_19014",0,0,0,0
"SWARM_10531",1,1,1,1
"SWARM_10530",0,1,0,1
"SWARM_18735",0,0,0,0
"SWARM_12466",0,0,0,0
"SWARM_5163",0,0,0,0
"SWARM_3118",0,0,0,0
"SWARM_3113",0,0,1,0
"SWARM_3110",0,0,0,0
"SWARM_19839",0,0,0,0
"SWARM_31474",0,0,0,0
"SWARM_46301",0,0,0,0
"SWARM_14020",0,0,0,0
"SWARM_14024",0,0,0,0
"SWARM_13557",0,0,0,0
"SWARM_21998",0,0,0,0
"SWARM_24010",0,0,0,0
"SWARM_53750",0,0,0,0
"SWARM_40053",0,0,0,0
"SWARM_10049",0,0,0,0
"SWARM_4914",0,0,0,0
"SWARM_409",0,0,0,0
"SWARM_404",0,0,0,0
"SWARM_14852",0,0,0,0
"SWARM_19931",0,0,0,0
"SWARM_10874",0,0,0,0
"SWARM_10875",0,0,0,0
"SWARM_10873",0,0,0,0
"SWARM_7852",0,0,0,0
"SWARM_1246",0,0,0,0
"SWARM_1242",0,0,0,0
"SWARM_25614",0,0,0,0
"SWARM_25615",0,0,0,0
"SWARM_44807",0,0,0,0
"SWARM_44808",1,0,0,0
"SWARM_26336",0,0,1,0
"SWARM_37306",0,0,0,0
