"","NSI","pi","piHC","piMetals"
"SWARM_2126",0,0,0,0
"SWARM_12581",0,0,0,0
"SWARM_29492",0,0,0,0
"SWARM_6394",0,0,0,0
"SWARM_9960",0,0,0,54.6
"SWARM_9963",0,0,0,0
"SWARM_11588",0,0,0,0
"SWARM_2888",0,62.44,53.02,58.96
"SWARM_126",83.32,99.99,79.99,97.51
"SWARM_125",0,0,0,0
"SWARM_124",0,44.06,0,66.19
"SWARM_122",0,0,0,0
"SWARM_12710",0,0,0,0
"SWARM_12719",0,0,0,0
"SWARM_18546",0,0,0,0
"SWARM_10714",0,0,0,0
"SWARM_6240",81.91,0,33.23,0
"SWARM_6244",32.29,0,0,0
"SWARM_5574",58.68,48.8,57.47,48.75
"SWARM_50117",0,0,0,0
"SWARM_956",0,0,0,0
"SWARM_35404",0,0,0,0
"SWARM_35403",0,0,0,0
"SWARM_7590",0,0,0,0
"SWARM_7591",0,0,0,0
"SWARM_7598",39.68,45.38,42.55,36.95
"SWARM_9382",0,0,0,0
"SWARM_7118",45.05,0,0,0
"SWARM_8594",0,0,0,0
"SWARM_29518",0,0,0,0
"SWARM_26867",0,0,0,0
"SWARM_13741",0,0,0,0
"SWARM_13742",0,0,0,0
"SWARM_4549",0,0,0,0
"SWARM_22856",0,0,0,0
"SWARM_8505",0,35.36,48.55,34.85
"SWARM_41573",0,0,0,0
"SWARM_3877",0,0,0,0
"SWARM_3876",0,0,0,0
"SWARM_3873",0,0,0,0
"SWARM_6805",0,0,0,0
"SWARM_1436",66.58,79.35,73.63,0
"SWARM_1435",0,0,0,0
"SWARM_9612",0,0,0,0
"SWARM_3305",0,0,0,35.24
"SWARM_33152",0,0,0,0
"SWARM_23240",0,0,0,0
"SWARM_23244",0,0,0,0
"SWARM_23248",0,0,0,0
"SWARM_22531",0,0,0,0
"SWARM_2259",0,53.37,49.87,66.45
"SWARM_2256",0,27.44,42.8,26.75
"SWARM_2253",0,0,0,0
"SWARM_11848",0,0,0,0
"SWARM_11842",0,0,0,0
"SWARM_9348",0,0,0,0
"SWARM_9345",0,0,0,0
"SWARM_17039",0,0,31.2,0
"SWARM_62616",0,0,0,0
"SWARM_7995",0,0,0,0
"SWARM_18785",0,0,0,0
"SWARM_1901",0,0,0,0
"SWARM_1904",0,0,0,0
"SWARM_43852",0,0,0,0
"SWARM_136",0,0,0,0
"SWARM_28898",0,0,0,0
"SWARM_25946",0,0,0,0
"SWARM_1573",0,0,0,48.98
"SWARM_1577",0,0,0,0
"SWARM_1574",82.34,0,0,0
"SWARM_33055",0,0,0,0
"SWARM_21759",0,0,0,0
"SWARM_21757",0,0,34.19,26.75
"SWARM_17260",0,0,0,0
"SWARM_25121",0,0,0,0
"SWARM_25123",0,0,0,0
"SWARM_22478",0,0,0,0
"SWARM_5063",0,0,0,0
"SWARM_6746",0,39.85,50.45,41.61
"SWARM_6742",0,45.57,39.72,45.67
"SWARM_249",44.69,0,0,0
"SWARM_47561",0,0,0,0
"SWARM_12217",0,0,0,0
"SWARM_12219",0,0,0,0
"SWARM_27698",0,0,0,0
"SWARM_1001",0,0,0,0
"SWARM_1006",0,0,0,0
"SWARM_25459",0,0,0,0
"SWARM_31357",0,0,0,0
"SWARM_3091",0,0,0,48.22
"SWARM_3097",0,59.69,68.6,67.91
"SWARM_3094",0,0,47.98,0
"SWARM_34894",0,0,0,0
"SWARM_13875",0,0,0,0
"SWARM_13299",0,0,0,19.35
"SWARM_22938",0,0,0,0
"SWARM_10585",70.11,0,0,0
"SWARM_10581",0,0,0,0
"SWARM_7705",0,0,0,0
"SWARM_1700",98.26,0,0,0
"SWARM_1702",0,0,0,0
"SWARM_24603",0,0,0,0
"SWARM_17918",0,0,0,0
"SWARM_17915",0,0,0,0
"SWARM_17910",0,0,0,0
"SWARM_23952",0,0,0,0
"SWARM_10755",0,0,0,0
"SWARM_10754",0,0,0,0
"SWARM_7055",0,35.4,40.44,39.73
"SWARM_4662",88.85,0,0,0
"SWARM_10626",0,33.94,48.36,24.47
"SWARM_4759",0,0,0,0
"SWARM_5403",0,0,0,0
"SWARM_20951",27.5,25.59,31.45,25.26
"SWARM_31982",0,0,0,0
"SWARM_30057",0,0,0,0
"SWARM_16112",0,0,0,0
"SWARM_27676",0,0,0,19.07
"SWARM_20108",31,64.26,30.76,70.73
"SWARM_17896",0,0,0,0
"SWARM_718",68.33,71.47,70.67,72.95
"SWARM_713",0,0,0,0
"SWARM_10986",33.62,35.94,31.96,36.89
"SWARM_12165",0,0,0,0
"SWARM_17669",0,0,0,0
"SWARM_16136",0,0,0,0
"SWARM_33212",0,0,0,0
"SWARM_5304",0,0,0,0
"SWARM_5306",0,0,0,0
"SWARM_5309",0,0,0,0
"SWARM_2658",0,0,0,0
"SWARM_8439",0,0,0,0
"SWARM_9704",97.56,0,0,0
"SWARM_1327",0,0,0,0
"SWARM_1325",0,0,0,0
"SWARM_1324",0,0,0,0
"SWARM_28672",0,0,0,0
"SWARM_25799",0,0,0,0
"SWARM_8412",0,0,0,0
"SWARM_11103",0,32.02,0,35.66
"SWARM_11109",0,35.49,32.82,32.68
"SWARM_10278",30.87,41.66,35.03,66.86
"SWARM_691",0,67.04,0,71.17
"SWARM_690",0,0,0,62.24
"SWARM_692",0,41.21,41.42,42.51
"SWARM_6553",0,0,0,0
"SWARM_7201",0,0,26.05,0
"SWARM_7206",0,43.6,0,43.27
