Region,Platform,Station,Alias,ShortName,Grab,Year,HasTHC,HasPAH,HasNPD,INDEX,MET,SSU_ID,COI_ID,18S,COI,Extract,Extract conc,Type,Plate18S,PlateCOI,18S_N,COI_N,Grabs,THC,PAH,NPD,As,Ba,Cd,Cr,Cu,Hg,Ni,Pb,Zn,Acenaften,Acenaftylen,Antracen,Benz(a)antracen,Benzo(a)pyren,Benzo(bjk)fluoranten,Benzo(ghi)perylen,C1-alkyldibenzotiofener,C1-alkylfenantrener/antracener,C1-alkylnaftalener,C2-alkyldibenzotiofener,C2-alkylfenantrener/antracener,C2-alkylnaftalener,C3-alkyldibenzotiofener,C3-alkylfenantrener/antracener,C3-alkylnaftalener,Chrysen,Dibenz(ah)antracen,Dibenzotiofen,Fenantren,Fluoranten,Fluoren,Indeno(1.2.3-c.d)pyren,Naftalen,Pyren,Grus,Sand,Pelite,Kornstorrelse,Kurtosis,Skewness,Sorting,TOC,MorphoS,MorphoH,ES100,ISI,Individtetthet,MorphoJ,NQI1,NSI,Depth,Distance,UTM31E,UTM31N,WGS84E,WGS84N,Comment
IX,SG,SG07,NA,SG07.2.2019,2,2019,Y,N,N,Y,Y,S791S-SG07,S839C-SG07,TRUE,TRUE,1186-1188,NA,S,9,9,26,74,3,8,NA,NA,4.7,164,0.08,30.2,10.2,0.03,NA,15.4,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,4.88,36.73,11.32,640,0.77,0.84,29.38,321,NA,NA,NA,21.095,71.642,
IX,SG,SG07,NA,SG07.3.2019,3,2019,Y,N,N,Y,Y,S792S-SG07,S840C-SG07,TRUE,TRUE,1189-1191,NA,S,9,9,27,75,3,9,NA,NA,4.5,201,0.08,23.9,9.0,0.02,NA,13.0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,4.88,36.73,11.32,640,0.77,0.84,29.38,321,NA,NA,NA,21.095,71.642,
IX,SG,SG08,NA,SG08.1.2019,1,2019,Y,N,N,Y,Y,S793S-SG08,S841C-SG08,TRUE,TRUE,1192-1194,NA,S,9,9,28,76,3,18,NA,NA,5.9,2820,0.11,29.3,11.8,0.04,NA,19.0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.03,27.29,64.69,4.89,1.15,-0.27,2.59,0.57,116,5.20,42.84,12.14,968,0.76,0.84,30.38,305,NA,NA,NA,21.061,71.656,
IX,SG,SG08,NA,SG08.2.2019,2,2019,Y,N,N,Y,Y,S794S-SG08,S842C-SG08,TRUE,TRUE,1195-1197,NA,S,9,9,29,77,3,13,NA,NA,5.8,2070,0.09,31.2,13.4,0.03,NA,15.4,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,5.20,42.84,12.14,968,0.76,0.84,30.38,305,NA,NA,NA,21.061,71.656,
IX,SG,SG08,NA,SG08.3.2019,3,2019,Y,N,N,Y,Y,S795S-SG08,S843C-SG08,TRUE,TRUE,1198-1200,NA,S,9,9,30,78,3,27,NA,NA,6.1,2890,0.10,28.7,11.1,0.05,NA,17.6,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,5.20,42.84,12.14,968,0.76,0.84,30.38,305,NA,NA,NA,21.061,71.656,
IX,SG,SG09,NA,SG09.1.2019,1,2019,Y,N,N,Y,Y,S796S-SG09,S844C-SG09,TRUE,TRUE,1201-1203,NA,S,9,9,31,79,3,12,NA,NA,6.5,581,0.12,33.8,12.8,0.02,NA,19.0,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,9.54,90.39,5.77,0.84,-0.06,1.43,0.76,112,5.65,45.59,11.30,904,0.83,0.84,28.46,320,NA,NA,NA,21.055,71.655,
IX,SG,SG09,NA,SG09.2.2019,2,2019,Y,N,N,Y,Y,S797S-SG09,S845C-SG09,TRUE,TRUE,1204-1206,NA,S,9,9,32,80,3,13,NA,NA,6.1,1060,0.15,27.3,12.5,0.03,NA,17.0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,5.65,45.59,11.30,904,0.83,0.84,28.46,320,NA,NA,NA,21.055,71.655,
IX,SG,SG09,NA,SG09.3.2019,3,2019,Y,N,N,Y,Y,S798S-SG09,S846C-SG09,TRUE,TRUE,1207-1209,NA,S,9,9,33,81,3,12,NA,NA,6.6,916,0.14,31.4,13.1,0.04,NA,20.0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,5.65,45.59,11.30,904,0.83,0.84,28.46,320,NA,NA,NA,21.055,71.655,
IX,SG,SG10,NA,SG10.1.2019,1,2019,Y,N,N,Y,Y,S799S-SG10,S847C-SG10,TRUE,TRUE,1213-1215,NA,S,9,9,34,82,3,6,NA,NA,5.0,165,0.07,18.8,7.3,0.02,NA,12.5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,46.73,52.85,4.20,0.82,0.18,1.96,0.49,88,4.62,34.96,12.53,693,0.72,0.83,30.38,314,NA,NA,NA,21.042,71.653,
IX,SG,SG10,NA,SG10.2.2019,2,2019,Y,N,N,Y,Y,S800S-SG10,S848C-SG10,TRUE,TRUE,1216-1218,NA,S,9,9,35,83,3,6,NA,NA,4.6,241,0.08,21.4,8.2,0.02,NA,13.1,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,4.62,34.96,12.53,693,0.72,0.83,30.38,314,NA,NA,NA,21.042,71.653,
IX,SG,SG10,NA,SG10.3.2019,3,2019,Y,N,N,Y,Y,S801S-SG10,S849C-SG10,TRUE,TRUE,1219-1221,NA,S,9,9,36,84,3,6,NA,NA,4.5,178,0.08,22.7,8.7,0.03,NA,13.5,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,4.62,34.96,12.53,693,0.72,0.83,30.38,314,NA,NA,NA,21.042,71.653,
IX,SG,SG11,NA,SG11.1.2019,1,2019,Y,N,N,Y,Y,S802S-SG11,S850C-SG11,TRUE,TRUE,1222-1224,NA,S,9,9,37,85,3,7,NA,NA,5.4,904,0.08,19.6,8.8,0.02,NA,13.4,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.27,34.20,60.53,4.68,1.08,-0.19,2.50,0.47,104,5.24,42.31,11.37,692,0.78,0.84,29.67,317,NA,NA,NA,21.064,71.659,
IX,SG,SG11,NA,SG11.2.2019,2,2019,Y,N,N,Y,Y,S803S-SG11,S851C-SG11,TRUE,TRUE,1225-1227,NA,S,9,9,38,86,3,11,NA,NA,5.8,1370,0.09,26.1,11.2,0.03,NA,14.4,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,5.24,42.31,11.37,692,0.78,0.84,29.67,317,NA,NA,NA,21.064,71.659,
IX,SG,SG11,NA,SG11.3.2019,3,2019,Y,N,N,Y,Y,S804S-SG11,S852C-SG11,TRUE,TRUE,1228-1230,NA,S,9,9,39,87,3,8,NA,NA,4.8,669,0.06,23.7,9.5,0.02,NA,14.1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,5.24,42.31,11.37,692,0.78,0.84,29.67,317,NA,NA,NA,21.064,71.659,
IX,SG,SG12,NA,SG12.1.2019,1,2019,Y,N,N,Y,Y,S805S-SG12,S853C-SG12,TRUE,TRUE,1231-1233,NA,S,9,9,40,88,3,11,NA,NA,6.5,751,0.15,34.5,13.7,0.04,NA,22.4,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,30.43,69.31,5.10,0.82,-0.13,2.02,0.91,102,5.47,42.43,10.78,779,0.82,0.84,28.21,318,NA,NA,NA,21.060,71.661,
IX,SG,SG12,NA,SG12.2.2019,2,2019,Y,N,N,Y,Y,S806S-SG12,S854C-SG12,TRUE,TRUE,1234-1236,NA,S,9,9,41,89,3,11,NA,NA,6.4,783,0.15,32.0,12.8,0.04,NA,20.1,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5.47,42.43,10.78,779,0.82,0.84,28.21,318,NA,NA,NA,21.060,71.661,
IX,SG,SG12,NA,SG12.3.2019,3,2019,Y,N,N,Y,Y,S807S-SG12,S855C-SG12,TRUE,TRUE,1237-1239,NA,S,9,9,42,90,3,12,NA,NA,6.0,679,0.13,31.5,12.3,0.04,NA,22.9,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5.47,42.43,10.78,779,0.82,0.84,28.21,318,NA,NA,NA,21.060,71.661,
