Taxon,EC
Alveolata incertae sedis,0
OLI11255,0
SGUH942,0
SCM37C52,0
BOLA914,0
Colpodellida,0
Syndiniales class incertae sedis,0
Retaria,0
Bicosoecida phylum incertae sedis,0
Hyphochytriomycetes phylum incertae sedis,0
Diatomea,0
Chrysophyceae phylum incertae sedis,0
Raphidophyceae phylum incertae sedis,0
Phaeothamniophyceae phylum incertae sedis,0
Bolidomonas phylum incertae sedis,0
Lobosa,0
Protosporangiida,0
Gracilipodida,0
LKM74,0
Discosea (Amoebozoa (kingdom)),0
LEMD255,0
Centrohelea,0
Palpitomonas phylum incertae sedis,0
Apusozoa,0
Breviatea phylum incertae sedis,0
Mantamonas phylum incertae sedis,0
Malacostraca,0
Branchiopoda,0
Ostracoda,0
Enoplea,0
Ascidiacea,0
Thaliacea,0
Catenulida,0
Cestoda,0
Seriata,0
Trematoda,0
Macrostomida,0
Rhabdocoela class incertae sedis,0
Haplopharyngida class incertae sedis,0
Lecithoepitheliata class incertae sedis,0
Prolecithophora class incertae sedis,0
Gastropoda,0
Bivalvia,0
Polyplacophora,0
Scaphopoda,0
Caudofoveata,0
Protobranchia,0
Monogononta,0
Polychaeta,0
Oligochaeta order incertae sedis,0
Anthozoa,0
Hydrozoa,0
Myxosporea,0
Scyphozoa,0
Echinoidea,0
Holothuroidea,0
Asteroidea,0
Phoroniformea,0
Rhynchonellata,0
Heterotardigrada,0
Demospongiae,0
Calcarea,0
Enteropneusta,0
Gymnolaemata,0
Stenolaemata,0
Typhlocoela,0
Priapulidae class incertae sedis,0
Nemertodermatida,0
Homalorhagida class incertae sedis,0
Cyclorhagida class incertae sedis,0
Enopla,0
Heteronemertea,0
Macrodasyida class incertae sedis,0
Chaetonotida class incertae sedis,0
Sagittoidea,0
Bursovaginoidea class incertae sedis,0
Coloniales class incertae sedis,0
Rhopaluridae class incertae sedis,0
Sordariomycetes,0
Dothideomycetes,0
Leotiomycetes,0
Eurotiomycetes,0
Pezizomycetes,0
Microbotryomycetes,0
Tremellomycetes,0
Ustilaginomycetes,0
Exobasidiomycetes,0
Blastocladiomycetes,0
Monoblepharidomycetes,0
Zoopagales class incertae sedis,0
Harpellales class incertae sedis,0
Mucorales class incertae sedis,0
Basidiobolaceae class incertae sedis,0
Craspedida,0
Acanthoecida,0
LKM11,0
Rozella class incertae sedis,0
Paramicrosporidium class incertae sedis,0
Freshwater Ichthyosporeans 1,0
Pirum class incertae sedis,0
Nucleariidae class incertae sedis,0
Dermocystida class incertae sedis,0
Ministeridae,0
Capsasporidae,0
Andalucia class incertae sedis,0
SCM38C39 marine group,0
Rhynchopus class incertae sedis,0
Carpediomonas-like organisms,0
Oxymonadida class incertae sedis,0
Trimastix class incertae sedis,0
Paratrimastix class incertae sedis,0
Stylonematales class incertae sedis,0
Rhodellophyceae,0
Aconoidasida,0
Novel Apicomplexa Class 1,0
Gregarinasina,0
Cryptosporida,0
Coccidia,0
Dinophyceae,0
SCM28C5,0
SCM28C1,0
Litostomatea,0
Armophorea,0
Heterotrichea,0
Oligohymenophorea,0
Prostomatea,0
Colpodea,0
Plagiopylea,0
Phyllopharyngea,0
Nassophorea,0
Colponema class incertae sedis,0
Chromera class incertae sedis,0
Syndiniales,0
RM2-SGM58,0
Chlorarachniophyta,0
Granofilosea,0
Imbricatea,0
Cercozoa incertae sedis,0
Thecofilosea,0
JJP-2003,0
Basal Group T,0
7-2.3,0
Novel Clade Gran-4,0
Metromonadea,0
Novel Clade 2,0
Novel Clade 12,0
N-Por,0
Novel Clade Gran-3,0
Novel Clade 10,0
Novel Clade Gran-6,0
Novel Clade 4,0
Novel Clade Gran-5,0
Vampyrellidae class incertae sedis,0
Cercomonadidae class incertae sedis,0
Glissomonadida class incertae sedis,0
Haplosporida,0
Paradiniidae,0
RAD A,0
Polycystinea,0
AT4-94,0
Acantharia,0
RAD B,0
RAD C,0
Peronosporomycetes,0
Hyphochytriomycetes,0
Coscinodiscophytina,0
Bacillariophyceae,0
Chrysophyceae,0
Phaeothamniophyceae,0
Bolidomonas class incertae sedis,0
Discosea,0
Tubulinea,0
Protosporangiidae,0
Centramoebida,0
H15-6,0
H1-10,0
H26-1,0
Acanthocystidae class incertae sedis,0
Heterophryidae class incertae sedis,0
Palpitomonas class incertae sedis,0
Amastigomonas class incertae sedis,0
Rigifilida class incertae sedis,0
Chelonemonas class incertae sedis,0
Ancyromonadida class incertae sedis,0
Apusomonas class incertae sedis,0
Breviatea,0
Mantamonas class incertae sedis,0
Sessilia,0
Monstrilloida,0
Harpacticoida,0
Tantulocarida,0
Eucarida,0
Peracarida,0
Eumalacostraca,0
Diplostraca,0
Podocopida,0
Myodocopida,0
Mermithida,0
Spirurida,0
Ascaridida,0
Araeolaimida,0
Monhysterida,0
Chromadorida,0
Desmoscolecida,0
Enterogona,0
Stolidobranchia,0
Trypanorhyncha,0
Tetraphyllidea,0
Proseriata,0
Plagiorchiida,0
Azygiida,0
Prosorhynchoides order incertae sedis,0
Rhabdocoela,0
Haplopharyngida,0
Lecithoepitheliata,0
Prolecithophora,0
Caenogastropoda,0
Veneroida,0
Myoida,0
Lucinoida,0
Nuculanoida,0
