"abundance","AverageShortestPathLength","BetweennessCentrality","class","ClosenessCentrality","ClusteringCoefficient","degree","Eccentricity","family","genus","IsSingleNode","kingdom","Label","name","negdegree","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","order","oriID","PartnerOfMultiEdgedNodePairs","phylum","pi","posdegree","Radiality","samplecount","selected","SelfLoops","shared name","species","Stress","superkingdom","TopologicalCoefficient","unknowndegree"
"1.556286625558227","5.268518518518518","0.0","Chromadorea","0.1898066783831283","0.0","1","9","NA","NA","false","Metazoa (Animalia)","Monhysterida","Monhysterida","0","16.0","0","1","Monhysterida","Monhysterida","0","Nematoda","0","1","0.8292592592592593","52","false","0","Monhysterida","NA","0","Opisthokonta","0.0","0"
"0.012363432376142455","5.268518518518518","0.02952290296527062","Imbricatea","0.1898066783831283","0.3333333333333333","3","9","Cyphoderiidae","NA","false","Rhizaria","Cyphoderiidae","Cyphoderiidae","1","6.0","0","3","Euglyphida","Cyphoderiidae","0","Cercozoa","0","2","0.8292592592592593","23","false","0","Cyphoderiidae","NA","2008","SAR","0.40476190476190477","0"
"0.004081740457466155","5.2407407407407405","0.002596053997923157","JJP-2003","0.19081272084805653","0.3333333333333333","3","9","NA","NA","false","Rhizaria","JJP-2003","JJP-2003","0","9.0","0","3","NA","JJP-2003","0","Cercozoa","0","3","0.8303703703703704","23","false","0","JJP-2003","NA","96","SAR","0.5777777777777777","0"
"0.00228816250176824","10.407407407407407","0.0","Craspedida","0.09608540925266905","0.0","1","16","NA","NA","false","Choanomonada","Craspedida","Craspedida","1","4.0","0","1","NA","Craspedida","0","Choanoflagellida","0","0","0.6237037037037038","19","false","0","Craspedida","NA","0","Opisthokonta","0.0","0"
"0.004348872257736007","4.75","0.18821391484942887","Cercozoa_07.02.2003","0.21052631578947367","0.3333333333333333","3","9","NA","NA","false","Rhizaria","Cercozoa-07.02.2003","Cercozoa-07.02.2003","1","10.666666666666666","0","3","NA","Cercozoa-07.02.2003","0","Cercozoa","0","2","0.85","21","false","0","Cercozoa-07.02.2003","NA","36032","SAR","0.49206349206349204","0"
"0.0020662279449319447","4.712962962962963","0.2032710280373832","Oligohymenophorea","0.21218074656188607","0.3333333333333333","3","9","NA","NA","false","Alveolata","Peritrichia","Peritrichia","1","9.666666666666666","0","3","Peritrichia","Peritrichia","0","Ciliophora","0","2","0.8514814814814815","19","false","0","Peritrichia","NA","35776","SAR","0.4057971014492754","0"
"0.0262155860383459","7.833333333333333","0.0","Dinophyceae","0.12765957446808512","0.0","1","16","Sinophysis family incertae sedis","Sinophysis","false","Alveolata","Sinophysis","Sinophysis","1","2.0","0","1","Dinophysiales","Sinophysis","0","Dinoflagellata","0","0","0.7266666666666667","31","false","0","Sinophysis","NA","0","SAR","0.0","0"
"0.002643602230750358","7.75","0.0","Spirotrichea","0.12903225806451613","0.0","1","13","Diophrys family incertae sedis","NA","false","Alveolata","Diophrys-family-incertae-sedis","Diophrys-family-incertae-sedis","1","2.0","0","1","Euplotia","Diophrys-family-incertae-sedis","0","Ciliophora","1","0","0.73","17","false","0","Diophrys-family-incertae-sedis","NA","0","SAR","0.0","0"
"0.07980855239245797","6.7592592592592595","0.01851851851851852","Novel Apicomplexa Class 2","0.14794520547945206","0.0","2","12","NA","NA","false","Alveolata","Novel-Apicomplexa-Class-2","Novel-Apicomplexa-Class-2","2","4.5","0","2","NA","Novel-Apicomplexa-Class-2","0","Apicomplexa","5","0","0.7696296296296297","43","false","0","Novel-Apicomplexa-Class-2","NA","2308","SAR","0.5","0"
"0.20846712745752988","5.2407407407407405","1.4422522210684206E-4","RAD B","0.19081272084805653","0.6666666666666666","3","9","NA","NA","false","Rhizaria","RAD-B","RAD-B","0","8.0","0","3","NA","RAD-B","0","Retaria","0","3","0.8303703703703704","46","false","0","RAD-B","NA","4","SAR","0.47058823529411764","0"
"0.2263182287031867","8.481481481481481","0.07199723087573555","NA","0.11790393013100438","0.0","2","14","NA","NA","false","Metazoa (Animalia)","Nematoda","Nematoda","2","3.0","0","2","NA","Nematoda","0","Nematoda","1","0","0.7007407407407408","39","false","0","Nematoda","NA","9208","Opisthokonta","0.5","0"
"0.05077721333204414","7.564814814814815","0.08913118726202839","Chaetonotida class incertae sedis","0.13219094247246022","0.0","2","13","NA","NA","false","Metazoa (Animalia)","Chaetonotida","Chaetonotida","2","2.0","0","2","Chaetonotida","Chaetonotida","0","Gastrotricha","0","0","0.7374074074074073","27","false","0","Chaetonotida","NA","11500","Opisthokonta","0.5","0"
