"","NSI","piMetals","pi","piHC"
"Maxillopoda",0,1,1,1
"Malacostraca",0,0,0,0
"Branchiopoda",3,0,0,0
"Ostracoda",0,0,0,0
"Enoplea",0,0,0,0
"Chromadorea",1,2,2,1
"Ascidiacea",0,0,0,0
"Thaliacea",0,0,0,0
"Catenulida",0,0,0,0
"Cestoda",0,0,0,0
"Seriata",0,0,0,0
"Trematoda",0,0,0,0
"Macrostomida",0,0,0,0
"Rhabdocoela class incertae sedis",0,0,0,0
"Haplopharyngida class incertae sedis",0,0,0,0
"Lecithoepitheliata class incertae sedis",0,0,0,0
"Prolecithophora class incertae sedis",0,0,0,0
"Gastropoda",0,0,0,0
"Bivalvia",0,0,0,0
"Polyplacophora",0,0,0,0
"Scaphopoda",0,0,0,0
"Caudofoveata",0,0,0,0
"Protobranchia",0,0,0,0
"Monogononta",0,0,0,0
"Polychaeta",0,0,0,0
"Oligochaeta order incertae sedis",0,0,0,0
"Anthozoa",0,0,0,1
"Hydrozoa",1,0,0,0
"Myxosporea",0,0,0,0
"Scyphozoa",0,0,0,0
"Echinoidea",0,1,0,0
"Holothuroidea",0,0,0,0
"Asteroidea",0,0,0,5
"Ophiuroidea",1,1,1,1
"Phoroniformea",0,0,0,0
"Rhynchonellata",0,0,0,0
"Heterotardigrada",0,0,0,0
"Demospongiae",1,0,0,0
"Calcarea",1,0,0,0
"Enteropneusta",0,0,0,0
"Gymnolaemata",0,0,0,0
"Stenolaemata",0,0,0,0
"Typhlocoela",0,0,0,0
"Priapulidae class incertae sedis",0,0,0,0
"Acoela",1,1,1,1
"Nemertodermatida",0,0,0,0
"Homalorhagida class incertae sedis",0,0,0,0
"Cyclorhagida class incertae sedis",0,0,0,0
"Enopla",0,0,0,0
"Heteronemertea",0,0,0,0
"Palaeonemertea",0,0,1,1
"Macrodasyida class incertae sedis",0,0,0,0
"Chaetonotida class incertae sedis",0,0,0,0
"Sagittoidea",0,0,0,0
