"","NSI","piMetals","pi","piHC"
"SWARM_9834",NA,NA,NA,NA
"SWARM_3720",NA,NA,NA,NA
"SWARM_3725",NA,NA,NA,NA
"SWARM_3724",NA,NA,NA,NA
"SWARM_3726",NA,NA,NA,NA
"SWARM_3729",NA,NA,NA,NA
"SWARM_1502",NA,NA,NA,NA
"SWARM_1769",NA,NA,NA,NA
"SWARM_1768",NA,NA,NA,NA
"SWARM_1762",NA,NA,NA,NA
"SWARM_1761",NA,NA,NA,NA
"SWARM_1760",NA,NA,NA,NA
"SWARM_1767",27.35,NA,NA,3.16534722222222
"SWARM_1765",NA,NA,NA,NA
"SWARM_3899",NA,NA,NA,NA
"SWARM_3898",NA,NA,NA,NA
"SWARM_657",NA,NA,NA,NA
"SWARM_3893",NA,NA,NA,NA
"SWARM_3890",NA,NA,NA,NA
"SWARM_3896",NA,NA,NA,NA
"SWARM_3895",NA,NA,NA,NA
"SWARM_3894",NA,NA,NA,NA
"SWARM_1499",NA,NA,NA,NA
"SWARM_1498",NA,NA,NA,NA
"SWARM_1494",27.35,NA,NA,NA
"SWARM_1491",25,NA,NA,NA
"SWARM_1490",7.005,NA,NA,NA
"SWARM_1492",27.845,NA,NA,NA
"SWARM_6089",NA,NA,NA,NA
"SWARM_6987",NA,NA,NA,NA
"SWARM_6984",NA,NA,NA,NA
"SWARM_6985",NA,NA,NA,NA
"SWARM_6980",NA,NA,NA,NA
"SWARM_8820",NA,NA,NA,NA
"SWARM_5199",NA,NA,NA,NA
"SWARM_24999",NA,NA,NA,NA
"SWARM_24996",NA,NA,NA,NA
"SWARM_4747",NA,NA,NA,NA
"SWARM_5191",NA,NA,NA,NA
"SWARM_5193",NA,NA,NA,NA
"SWARM_5195",NA,NA,NA,NA
"SWARM_5197",NA,NA,NA,NA
"SWARM_17976",NA,NA,NA,NA
"SWARM_13439",NA,NA,NA,NA
"SWARM_22661",NA,NA,NA,NA
"SWARM_4741",NA,NA,NA,NA
"SWARM_7903",NA,NA,NA,NA
"SWARM_9563",NA,NA,NA,NA
"SWARM_4525",NA,NA,NA,NA
"SWARM_11512",NA,NA,NA,NA
"SWARM_4481",NA,NA,NA,NA
"SWARM_4483",NA,NA,NA,NA
"SWARM_4482",NA,NA,NA,NA
"SWARM_4484",NA,NA,NA,NA
"SWARM_4487",NA,NA,NA,NA
"SWARM_4486",NA,NA,NA,NA
"SWARM_10392",NA,NA,NA,NA
"SWARM_4731",NA,NA,NA,NA
"SWARM_4730",NA,NA,NA,NA
"SWARM_4735",NA,NA,NA,NA
"SWARM_10399",NA,NA,NA,NA
"SWARM_5285",NA,NA,NA,NA
"SWARM_5286",NA,NA,NA,NA
"SWARM_5287",NA,NA,NA,NA
"SWARM_5282",NA,NA,NA,NA
"SWARM_5283",NA,NA,NA,NA
"SWARM_6392",NA,NA,NA,NA
"SWARM_6395",NA,NA,NA,NA
"SWARM_6398",NA,NA,NA,NA
"SWARM_2883",NA,NA,NA,NA
"SWARM_2882",NA,NA,NA,NA
