"","NSI","piMetals","pi","piHC"
"SWARM_3911",0,0,0,0
"SWARM_3919",0,0,0,0
"SWARM_1510",34.71,82.88,64.2,39.39
"SWARM_1511",0,57.15,52.44,0
"SWARM_1512",81.73,84.67,84.75,80.33
"SWARM_1516",0,46,47.56,52.37
"SWARM_7868",0,0,0,0
"SWARM_11629",0,0,0,0
"SWARM_837",0,67.88,0,0
"SWARM_550",0,0,0,0
"SWARM_551",0,78.96,74.41,0
"SWARM_557",0,0,0,0
"SWARM_6506",0,0,0,0
"SWARM_6507",0,0,0,0
"SWARM_6504",0,0,0,0
"SWARM_20122",0,0,0,0
"SWARM_22418",0,0,0,0
"SWARM_2578",0,0,0,0
"SWARM_2573",0,0,0,0
"SWARM_2572",0,0,0,0
"SWARM_2571",0,0,0,0
"SWARM_2577",0,0,0,0
"SWARM_2576",0,0,0,0
"SWARM_2574",0,0,0,0
"SWARM_4809",0,0,0,0
"SWARM_4808",0,0,0,0
"SWARM_4804",0,0,0,0
"SWARM_4806",0,0,0,0
"SWARM_4802",0,0,0,0
"SWARM_5979",0,0,0,0
"SWARM_733",80.12,78.88,74.75,79.07
"SWARM_736",0,0,39.21,0
"SWARM_734",0,0,0,0
"SWARM_735",97.33,64.25,60.91,0
"SWARM_738",0,0,0,0
"SWARM_739",0,0,0,0
"SWARM_9408",0,0,0,0
"SWARM_9403",0,0,0,0
"SWARM_9400",0,0,0,0
"SWARM_6982",0,0,0,0
"SWARM_17397",0,0,0,0
"SWARM_12147",0,0,0,0
"SWARM_17398",0,0,0,0
"SWARM_6989",0,0,0,0
"SWARM_7058",0,0,0,0
"SWARM_7053",0,0,0,0
"SWARM_7051",0,0,0,0
"SWARM_7050",0,0,0,0
"SWARM_17642",0,0,0,0
"SWARM_11493",0,0,0,0
"SWARM_12362",0,0,0,0
"SWARM_11498",0,0,0,0
"SWARM_16117",0,0,0,0
"SWARM_18846",0,0,0,0
"SWARM_1060",0,0,0,0
"SWARM_1061",77.77,0,0,0
"SWARM_1063",0,65.98,63.06,62.6
"SWARM_1064",56.37,74.11,72.33,69.75
"SWARM_1065",0,28.62,36.76,43.1
"SWARM_1066",0,0,0,0
"SWARM_1067",39.59,0,0,0
"SWARM_1068",0,0,0,0
"SWARM_1069",0,0,0,0
"SWARM_7860",0,0,0,0
"SWARM_18269",0,0,0,0
